,date,weekday,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities
34,2014-04-23,2,7.0,-0.3333333333333333,0.3333333333333333,0.05416666666666672,317.956999540329,0.0,1.0,8.155999999999999,202.358,12.065,0.0,0.0,12.05,83.15,0.0,0.0,
35,2014-04-24,3,7.0,-0.2,0.4,0.036901960784313716,1478.5470013618472,1.0,0.0,542.8660000000001,484.745,16.071,0.0,0.0,378.066,82.875,0.0,0.0,
36,2014-04-25,4,7.0,0.5,0.25,0.04379330553481038,707.317000389099,2.0,0.0,192.42399999999998,488.702,21.807,0.0,0.0,46.597,60.263,0.0,0.0,
37,2014-04-26,5,7.0,0.5,0.75,0.046111111111111096,1290.6129994392386,0.0,1.0,113.58000000000001,594.009,122.576,0.0,0.0,0.0,460.11299999999994,0.0,0.0,
38,2014-04-27,6,6.8,0.0,0.0,0.01789285714285714,1501.0290005207066,0.0,0.0,132.16799999999998,337.639,0.0,0.0,0.0,38.161,932.73,0.0,59.635,
39,2014-04-28,0,6.8,0.0,0.2,0.05668667466986795,2972.6559991836543,0.0,0.0,249.59300000000002,1130.8650000000002,200.39500000000004,0.0,561.0070000000001,46.019999999999996,399.017,0.0,0.0,
40,2014-04-29,1,7.25,0.25,0.75,0.0034722222222222337,419.503999948502,0.0,0.0,163.942,105.477,18.071,0.0,0.0,0.0,131.852,0.0,0.0,
41,2014-04-30,2,7.0,0.2,0.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
42,2014-05-01,3,7.0,0.2,0.4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
43,2014-05-02,4,7.2,0.2,0.2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
44,2014-05-03,5,6.75,0.0,0.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
45,2014-05-04,6,7.333333333333333,0.0,0.6666666666666666,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
46,2014-05-05,0,7.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
