,date,weekday,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities
36,2014-04-19,5,7.0,-0.2,0.8,0.03125,452.47200012206986,0.0,0.0,328.31399999999996,15.068,0.0,0.0,0.0,764.6700000000001,0.0,0.0,0.0,
37,2014-04-20,6,7.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
38,2014-04-21,0,7.2,-0.2,1.0,0.03125,2578.1539998054495,0.0,0.0,269.713,1784.137,0.0,0.0,162.382,1573.9250000000002,170.724,0.0,0.0,
39,2014-04-22,1,7.0,0.0,1.0,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
40,2014-04-23,2,7.0,1.0,1.0,0.2812499999999999,468.83899974823,2.0,0.0,167.341,231.99099999999999,0.0,0.0,28.243,41.228,0.0,0.0,0.0,
41,2014-04-24,3,7.0,1.8,1.0,0.0625,1259.3180003166208,0.0,12.0,465.399,486.578,39.181,0.0,0.0,255.91000000000003,12.082,0.0,0.0,
42,2014-04-25,4,7.0,1.0,1.0,0.0,72.0190000534058,7.0,4.0,115.09299999999999,17.099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
43,2014-04-26,5,6.2,-0.2,0.0,0.0138888888888889,338.8070003986354,3.0,0.0,206.09699999999998,236.73799999999997,0.0,0.0,0.0,84.554,0.0,0.0,0.0,
44,2014-04-27,6,7.0,0.75,0.6,0.1493055555555557,2502.144000291825,3.0,0.0,308.49499999999995,3035.294000000001,0.0,0.0,0.0,9.069,0.0,0.0,0.0,
45,2014-04-28,0,7.0,1.0,0.4,0.07,1930.90799999237,0.0,0.0,464.38599999999997,3209.685,0.0,96.649,0.0,28.163,0.0,0.0,0.0,
46,2014-04-29,1,7.0,1.0,0.3333333333333333,0.04,55.15400004386904,1.0,0.0,14.92,543.619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
47,2014-04-30,2,6.0,1.4,-0.4,0.136363636363636,193.601000070572,1.0,0.0,121.24300000000001,0.0,0.0,0.0,0.0,206.083,0.0,0.0,0.0,
48,2014-05-01,3,6.6,-0.2,0.0,0.0,59.6670000553131,0.0,0.0,59.655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
49,2014-05-02,4,7.0,0.2,0.5,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
50,2014-05-03,5,6.8,0.2,0.2,0.0714285714285715,585.0270001888283,3.0,1.0,243.495,312.22900000000004,0.0,0.0,0.0,15.069,14.115,0.0,0.0,
51,2014-05-04,6,7.0,-0.2,0.6,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
52,2014-05-05,0,7.0,1.0,0.75,0.0,172.1119997501373,12.0,0.0,174.08399999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
55,2014-05-06,1,,,,0.3436853002070393,1658.536000013351,1.0,2.0,636.768,1154.761,672.08,0.0,0.0,0.0,55.366,23.103,0.0,
53,2014-05-07,2,7.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
54,2014-05-08,3,7.0,0.5,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
