,date,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather
27,2014-04-17,7.0,0.0,0.75,0.11045653907496016,2211.44800043106,1.0,1.0,31.595999999999997,1268.037,651.998,36.512,0.0,0.0,32.259,0.0,43.02400000000001,151.64100000000002,5.106999999999999,
28,2014-04-18,6.6,-1.2,0.6,0.11473829201101932,2364.1620001792908,2.0,1.0,130.091,516.495,1488.692,80.219,0.0,72.352,12.053,38.117,22.127,0.0,3.0109999999999997,
29,2014-04-19,8.0,0.25,1.0,0.11314935064935065,1896.4769990444192,0.0,0.0,13.157,761.494,584.2470000000001,0.0,0.0,4.028,20.803,36.476,475.38599999999997,0.0,0.0,
30,2014-04-20,6.25,0.0,0.25,0.041548295454545435,421.0810003280639,0.0,0.0,2.012,248.21,208.96999999999997,0.0,0.0,0.0,0.0,267.892,61.327999999999996,0.0,0.0,
31,2014-04-21,6.5,-1.0,0.5,0.015309343434343441,848.1339998245237,2.0,0.0,66.726,66.779,554.882,32.886,0.0,0.0,16.339,0.0,0.0,108.031,2.205,
32,2014-04-22,6.6,-0.2,0.4,0.06439393939393938,2612.397999525069,15.0,0.0,814.3489999999999,835.922,1426.935,0.0,0.0,0.0,0.0,26.468,0.0,0.0,0.0,
33,2014-04-23,6.333333333333333,-0.3333333333333333,0.3333333333333333,0.03922032828282828,2925.293999671936,2.0,2.0,810.732,765.12,1200.412,71.327,0.0,0.0,23.765,28.135,0.0,30.26,0.0,
34,2014-04-24,7.2,0.2,1.0,0.04203282828282827,763.8369996547699,5.0,0.0,23.392,302.97900000000004,422.54499999999996,0.0,0.0,0.0,7.085,0.0,4.024,0.0,0.0,
35,2014-04-25,7.25,0.25,1.0,0.11581439393939394,1263.7550008296964,0.0,0.0,4.023,644.2679999999999,976.648,47.889,0.0,0.0,25.513,0.0,0.0,71.26,0.0,
36,2014-04-26,8.0,0.0,1.0,0.11026936026936031,1797.3450000286102,0.0,0.0,74.732,1051.7220000000002,404.52,203.255,0.0,0.0,38.775,8.226,0.0,0.0,0.0,
37,2014-04-27,6.25,-1.0,0.25,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
38,2014-04-28,6.6,0.0,0.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
39,2014-04-29,6.75,-0.5,0.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
40,2014-04-30,7.0,-0.5,0.75,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
41,2014-05-01,7.5,-0.25,0.75,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
42,2014-05-02,7.6,0.0,0.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
43,2014-05-03,7.75,0.25,0.75,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
44,2014-05-04,6.6,0.2,0.4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
45,2014-05-05,6.0,-1.0,0.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
