,date,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather
33,2014-04-15,6.6,0.6,0.5,0.05,4.1340000629425,1.0,2.0,121.88600000000001,53.147999999999996,0.0,0.0,0.0,0.0,35.166,0.0,0.0,0.0,
34,2014-04-16,7.25,1.25,1.0,0.13797664519172403,705.4270007610322,2.0,4.0,284.669,317.69599999999997,0.0,0.0,0.0,12.13,90.522,0.0,0.0,0.0,
35,2014-04-17,7.0,-0.6,1.0,0.14644478187042836,445.70899987220764,3.0,0.0,161.39600000000002,154.33100000000002,0.0,102.41,0.0,13.199,14.139,0.0,0.0,0.0,
36,2014-04-18,6.8,0.0,1.0,0.009735044072393464,2129.2099990844745,0.0,4.0,245.234,577.2479999999999,1118.142,0.0,0.0,0.0,187.469,0.0,0.0,0.0,
37,2014-04-19,7.2,1.6,1.0,0.1840579710144928,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
38,2014-04-20,7.0,1.3333333333333333,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
39,2014-04-21,7.25,1.0,1.0,0.009197324414715692,739.2569997310637,0.0,0.0,363.69300000000004,481.286,62.525,0.0,0.0,14.093,33.32,0.0,0.0,0.0,
40,2014-04-22,6.6,0.8,0.8,0.05494394283401094,908.7909989356989,0.0,1.0,168.06,741.198,204.428,0.0,0.0,0.0,100.71,0.0,0.0,0.0,
41,2014-04-23,7.25,0.75,1.0,0.08201415701415696,1298.744999885559,4.0,1.0,316.14,827.5889999999999,0.0,139.93,0.0,9.035,18.024,0.0,0.0,0.0,
42,2014-04-24,5.4,-0.2,-0.2,0.013731060606060611,1189.710000038147,3.0,1.0,70.905,254.411,345.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
43,2014-04-25,7.2,0.6,1.0,0.08522727272727262,333.69499969482473,7.0,12.0,182.95600000000002,19.083,0.0,0.0,0.0,0.0,22.451,0.0,0.0,0.0,
44,2014-04-26,6.75,0.5,1.0,0.35491071428571425,55.5429999828339,0.0,3.0,0.914,49.566,0.0,0.0,0.0,5.046,0.0,0.0,0.0,0.0,
45,2014-04-27,7.2,-0.2,1.0,0.12176700111482719,268.66999959945684,2.0,0.0,80.749,187.691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
46,2014-04-28,8.0,1.0,1.0,0.18809523809523798,209.3850002288816,8.0,1.0,25.145000000000003,15.659,0.0,0.0,0.0,0.0,168.114,0.0,0.0,0.0,
47,2014-04-29,7.0,-0.5,1.0,0.03592650103519668,1285.5090003013609,7.0,4.0,466.95,720.9810000000001,420.501,132.667,0.0,7.022,64.21700000000001,0.0,0.0,0.0,
48,2014-04-30,7.0,0.4,1.0,0.03966646529954715,736.7540004253391,3.0,0.0,25.777,431.95899999999995,45.855999999999995,0.0,0.0,5.023,0.0,0.0,0.0,0.0,
49,2014-05-01,7.0,0.0,1.0,0.1044532627865961,125.5750000476836,7.0,2.0,106.30199999999999,19.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
50,2014-05-02,8.0,2.0,1.0,0.10067570888004324,929.4620008468631,2.0,0.0,163.454,407.222,94.374,0.0,0.0,0.0,139.14499999999998,124.535,0.0,0.0,
53,2014-05-03,,,,0.026000330687830687,2509.073999643327,1.0,0.0,458.842,629.9509999999999,1066.7440000000001,0.0,0.0,0.0,530.554,0.0,0.0,0.0,
51,2014-05-04,7.0,0.0,1.0,0.09635942760942762,692.0870001316063,0.0,0.0,714.2509999999999,255.043,0.0,29.127,0.0,15.073,176.559,0.0,11.114,13.048,
52,2014-05-05,7.333333333333333,1.5,1.0,0.012931034482758626,950.9159996509547,0.0,0.0,46.171,0.0,904.613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
